Body ID,articleBody
0,"The bombshell 20-page letter written by Donald Trump’s attorneys to special counsel Robert Mueller early this year and obtained by The New York Times Saturday includes an intriguing revelation. Trump “dictated” the misleading statement about Donald Trump Jr.’s controversial meeting with a Russian representative during the presidential election, the letter states unequivocally.

Donald Trump Jr. met at Trump Tower in Manhattan in June 2016 with Kremlin-linked attorney Natalia Veselnitskaya, who said she could deliver damaging information on Hillary Clinton.

After the Times reported on the Trump Tower meeting last summer, “The president dictated a short but accurate response ... on behalf of his son,” stated the newly obtained letter, written by Trump’s attorneys Jay Sekulow and John Dowd (who has since left the Trump legal team).

The president’s response stated that the meeting “primarily discussed a program about the adoption of Russian children.” It omitted any mention of Clinton.

Veselnitskaya did mention the Magnitsky Act that deals with Russian adoptions, but the focus of the meeting was Clinton, according to Trump’s son.

The misleading statement could cause problems for Trump if it’s seen as an attempt to obstruct Mueller’s investigation into possible Russia collusion with his campaign.

It could also cause problems for Trump’s son, who testified before the Senate Judiciary Committee last September that he didn’t have a clear idea who was responsible for the misleading statement about Russian adoptions.

Trump’s authorship of the problematic response — confirmed for the first time by his own attorneys — was an intriguing aside in the letter whose key point was arguing that Trump is essentially legally untouchable because he is the president. He can’t be compelled to testify in the Mueller investigation, and has the power to shut down any Justice Department probe and pardon whomever he wants, according to the memo.

“Indeed, the President not only has unfettered statutory and Constitutional authority to terminate the FBI director,” the letter states. “He also has Constitutional authority to direct the Justice Department to open or close an investigation, and, of course, the power to pardon any person before, during, or after an investigation and/or conviction.”

It’s a position that legal experts have already attacked (check out the video above)."
1,"The president scored cheap political points this morning by undermining trust in the U.S. economy. A president who is obsessed with stopping leaks leaked extremely sensitive economic information about May’s jobs report Friday morning, over an hour before the report was officially released.

“Looking forward to seeing the employment numbers at 8:30 this morning,” President Donald Trump tweeted at 7:21 a.m., hinting the numbers would be favorable. Not only is that an hour before the report’s release, it’s a full two hours before government appointees are legally allowed to say anything at all. side from the sheer hypocrisy of Trump, one, leaking and, two, playing up the importance of a report he used to dismiss as “phony” and “one of the biggest hoaxes in modern politics,” it also makes for deeply problematic economic policy.

That’s according to Justin Wolfers, a professor of economics and public policy at the University of Michigan and an adviser to the Congressional Budget Office, among other things. Wolfers said the president’s disclosure is unprecedented both in the U.S. and among his counterparts in other developed countries. And it’s unprecedented for a handful of really, really good reasons:

Trump is making America Greek again (i.e., bad things happen when data is politicized).
It’s extremely important that the data we use to determine how healthy the economy is remain totally independent and free from political influence. Trump teasing and putting a political spin on numbers ahead of their release casts doubt on whether they’re accurate and honest.

The data in these reports are the result of countless hours of work by a group Wolfers characterized as “nerds in basements.” Markets trust number-crunching nerds who work for government agencies that operate above the political fray. They don’t trust politicians.

“The reason for that is, in many tin-pot countries, autocrats start fiddling with the statistics,” Wolfers said. “When they start doing that, no one believes them, and you end with a situation like in Greece, where nobody wants to loan you money.”

“The original sin that led to the Greek crisis is that they were dishonest with their economic statistics,” Wolfers added. “This is a step toward undermining that. There’s nothing good at the end of that pathway.” It’s illegal and undermines fundamental trading rules.
A fundamental principle of the economy is the ideal that everyone has access to the same information as everyone else. Information that could send markets skyrocketing, plummeting or even staying the course is tightly guarded, and doled out in a manner meant to ensure everyone has equal access.

Trump was one of a highly select group of people briefed on the jobs report ahead of time. By tweeting about it prior to its release, he turned the system on its head ? and that’s illegal.

“If any public official under any previous administration had issued that tweet, they would get fired within the hour,” Wolfers said.

Former President Barack Obama’s onetime chief economic adviser Austan Goolsbee told Politico, “If the president just tipped that the numbers are good, he broke the law.” 

Anyone armed with extra information ? say a friend Trump told while chatting on the phone Thursday night, or someone who saw Trump’s tweet at just the right moment ? can use it to make a lot of money at someone else’s expense.

“If someone makes money in a casino, someone else is losing it,” Wolfers explained, “and that’s likely yours and my retirement account.”

Wolfers hasn’t yet been able to dig into Friday’s pre-market data and conclusively say that’s what happened after Trump tweeted, but he said at first glance it’s “highly suggestive.”

“If you’re a financial market trader and you saw that tweet and you were aware the president has been briefed on the numbers, you’d have to be a fool to not know what was up,” he said. “Traders with millions on the line are doing something.”

Illegality aside, it’s just bad for the economy.
“It’s clear the president doesn’t take his responsibility to treat confidential data seriously,” said Wolfers. “Now every time he speaks we’re going to be wondering, ‘Did we just learn something?’ And if he sounds optimistic, we’ll buy, and if he sounds pessimistic, we’ll sell.

“That’s extra volatility we don’t need.”

In addition to destabilizing the market, Trump’s tweet undermines the White House’s own ability to send legitimate economic signals when they actually matter.

“There are times when the White House needs to speak and be understood,” Wolfers said. “All of this confuses the White House’s message, not in the political sense, but in the economic sense.”

So in the future, if Trump’s economic adviser recommends broadcasting a message that seeks to either boost or cool down the markets, for example, economists may disregard the signal seeing it as Trump crying wolf.  

“When it’s time,” Wolfers warned, “the markets will respond less than they should.”"
2,"The late-night host has apologized for using an expletive to refer to Ivanka Trump. Bee called Ivanka Trump a “feckless cunt” on Wednesday’s episode of “Full Frontal” while making a joke about how the first daughter is complicit in the president’s immigration policies.

White House press secretary Sarah Huckabee Sanders called the comment “vile and vicious” on Thursday and asked TBS and Time Warner to discipline the late-night host. 

Both Bee and TBS later apologized for the language used. 

“I would like to sincerely apologize to Ivanka Trump and to my viewers for using an expletive on my show to describe her last night,” Bee said in a statement sent to HuffPost. “It was inappropriate and inexcusable. I crossed a line, and I deeply regret it.” 

Trump previously tweeted about entertainment news earlier this week when he shared his thoughts on ABC canceling Roseanne Barr’s show. Trump did not comment on Barr’s racist statement that led to the cancellation of her sitcom. Instead, he tweeted that he was disappointed he had not received a call from Bob Iger, CEO of the Walt Disney Company, about “the HORRIBLE statements made and said about me on ABC.”  

In his tweet Friday, the president appeared to refer to the controversy over Barr’s racist remarks, calling it “a total double standard.”

Trump publicly demanding that a private company fire an individual over comments with which he disagrees is similar to how White House press secretary Sarah Huckabee Sanders suggested last year that ESPN should fire host Jemele Hill, after Hill referred to Trump as “a white supremacist.”
President Donald Trump responded Friday to Samantha Bee’s controversial comments about his daughter Ivanka Trump, demanding that the comedian and host of “Full Frontal” be fired."
3,"Trump’s Steel Tariffs Incite Retaliation From Mexico And Canada. MEXICO CITY (Reuters) - Mexico hit back fast on U.S. tariffs on steel and aluminum on Thursday, targeting products from congressional districts that President Donald Trump’s Republican party is fighting to retain in November elections.

Economy Minister Ildefonso Guajardo said the tit-for-tat measures would complicate talks between the United States, Canada and Mexico to revamp the North American Free Trade Agreement (NAFTA) that underpins trade between the neighbors.

The spat meant it would be “very difficult” to reach a deal to revamp NAFTA before Mexico’s July 1 presidential election, though he underlined the continent had not entered a trade war.

“A trade war is when there is an escalation of conflict. In this case, it is simply a response to a first action,” Guajardo told Mexican radio. “We should stick to the clearly defined battlefield, where the response is appropriate and proportional.”

Mexico’s retaliatory tariffs target pork legs, apples, grapes and cheeses as well as steel - products from U.S. heartland states that supported Trump in the 2016 election.

The country reacted right after Washington said in the morning it was moving ahead with tariffs on aluminum and steel imports from Canada, Mexico and the European Union.

“It sends a clear message that this kind of thing does not benefit anybody,” Guajardo said of the Mexican retaliation.

“Because, in the end, the effect will fall on voters and citizens that live in districts where the people have a voice and vote in the (U.S.) Congress.”

Mexico said it was imposing “equivalent” tariffs, ratcheting up tensions during talks to renegotiate NAFTA ahead of the U.S. mid-term elections in November. The measures will be in place until the U.S. government drops its tariffs, Mexico’s government said. MEXICO WITH THE WORLD

Guajardo said retaliation was aimed at products chosen to hit districts with important lawmakers who had been warning Trump not to mess with Mexico. He estimated the U.S. tariffs would affect $4 billion in trade between the two countries.

“It is a sad day for international trade,” Guajardo said. “But hey, the decision was made, and we always said that we were going to be ready to react.”

In 2011, Mexico successfully used a similar list of mostly agricultural products to push Washington into letting Mexican truckers on U.S. highways.

Trump’s Republicans are fighting to retain control of Congress in mid-term elections. Their majority in the House of Representatives is seen as vulnerable.

Pork exporter Iowa, where incumbent Republican Rod Blum faces a Democratic challenge, is an example of a place Mexico’s reaction could hurt.

Mexico buys more steel and aluminum from the United States than it sells. It is the top buyer of U.S. aluminum and the second-biggest buyer of U.S. steel, Guajardo’s ministry said.

The countermeasures will hit U.S. hot and cold rolled steel, plated steel and tubes, the ministry said.

Canadian Prime Minister Justin Trudeau and Mexican President Enrique Pena Nieto spoke by phone after the U.S. announcement. Canada pledged to fight back with its own measures.

Trump threatened to rip up the NAFTA deal during his election campaign but agreed to renegotiate early in his term. Still, since talks began nine months ago, he has repeatedly said he could walk away from NAFTA if it is not redone to his liking.

“The difference between a year and four, five months ago is that it seems the world looked and said ’poor Mexico,” Guajardo said. “Now, Mexico is facing these threats together with the world.”

 "
4,"The president had thoughts on how ABC handled the situation, but he said little about Roseanne Barr’s racist remarks."
5,"President Donald Trump on Wednesday threw Attorney General Jeff Sessions under the bus again, tweeting that he wished he had picked someone else to lead the Justice Department. 

Trump referred to Rep. Trey Gowdy’s (R-S.C.) Wednesday appearance on “CBS This Morning,” in which he defended the president’s frustration with Sessions’ decision to recuse himself from the Russia probe.

“I would be frustrated, too,” Trump quoted Gowdy as saying. “There are lots of really good lawyers in the country, he could have picked somebody else!”

Trump added: “And I wish I did!” Sessions, an early supporter of Trump’s 2016 presidential run, has been the subject of Trump’s ire since he announced his recusal in March 2017 from a federal investigation into Russia’s interference in the 2016 election. 

Despite Trump’s public humiliation campaign against Sessions, he reportedly rejected an offer from Sessions to resign last spring.

The Justice Department declined to comment.

Although Trump seemed to embrace Gowdy’s comment Wednesday, the Republican lawmaker has previously criticized Trump’s use of Twitter to bash Sessions. 

“Doing this publicly, I don’t think helps our justice system,” Gowdy said in July 2017 after Trump attacked a “beleaguered” Sessions on Twitter for not investigating Hillary Clinton.

“I think you ought to praise in public and critique in private,” Gowdy said. “You shouldn’t make personnel decisions, particularly at the Cabinet level, via Twitter. ... The attorney general doesn’t work for the president. He works for a blindfolded woman holding a set of scales.”

During an appearance Tuesday on Fox News, Gowdy contradicted Trump’s recent claims that the FBI “spied” on his campaign under the orders of President Barack Obama.

Gowdy, the chairman of the House Oversight and Government Reform Committee, said the FBI acted appropriately when it used an informant to gather information about Trump’s campaign advisers who allegedly had suspicious contacts linked to Russia.

“I am even more convinced that the FBI did exactly what my fellow citizens would want them to do when they got the information they got, and that it has nothing to do with Donald Trump,” Gowdy said on Fox News."
6,"President Donald Trump never misses an opportunity to claim credit where none is due or to center himself among America’s national rituals ? especially where the military is concerned. On Memorial Day, Trump tweeted praise for the nation’s fallen soldiers, adding that those who gave their lives for America would be especially happy to learn that the economy was doing well under his administration.

Trump’s promotion of compulsory nationalism and patriotism explains his support for the National Football League’s new national anthem policy, announced last week and in direct response to the pressure he has put on the NFL.

The League will now fine a team if a player refuses to stand and show “respect” for the flag and anthem, while permitting players to stay in the locker room during the anthem if they choose. Exercising one’s First Amendment rights by protesting racial inequality and police violence against black communities is acceptable, the NFL seems to think, as long as it’s done off camera and out of public view. Mandatory displays of patriotism are now the name of America’s game.

In response to the new policy, Trump told Fox News, “You have to stand — proudly — for the national anthem or you shouldn’t be playing. You shouldn’t be there. Maybe you shouldn’t be in the country.” Trump’s deportation policy, it would appear, now includes dissenting NFL wide receivers and running backs.

The politics of race, nationalism and sports have rarely been as deeply interconnected as they are right now.
The politics of race, nationalism and sports have rarely been as deeply interconnected as they are right now. For years, conservative pundits and sports fans alike have cried that “sports and politics don’t mix.” Yet with each Trumpian intervention, pronouncements insisting on the separation between politics and the games we love to watch and play become less credible. Though sports have always been a key site for wider ideological battles over what it means to be American, few presidents have inserted themselves into disputes within and about sports as directly as Trump has.

Trump’s actions last week ? his comments about the NFL’s new policy and his pardon of the boxer Jack Johnson ? are not, as some might think, a diversion from “real politics.” Rather, they are a prime example of Trumpian politics. First come the racially charged comments, which are followed by appeals to American exceptionalism and to the greatness of America. Then comes his attempt to present himself as deeply concerned with the plight of the dispossessed, particularly with African-American lives.

Whether through deliberate political strategy or nativist instinct, Trump understands that sports and politics are inseparable and can be useful for his political standing. Trump’s attacks on the NFL players are effective and resonant with his overwhelming white political base precisely because sports and politics are so tightly intertwined. No public arena in American life so clearly conflates militarism and nationalism, while centering black bodies at labor, as the commodified sports spectacle of the NFL. We should not be surprised that Trump ? “the First White President,” whose run for the presidency can be seen as the negation of the first black president ? has targeted black athletes for months now. He has long questioned their loyalty to “the flag” and their right to keep their jobs if they do not agree to perform patriotism for pay on the field. In this sense Trump is merely voicing the concerns and anxieties of large sections of white America who have felt threatened by the power, status and rising social mobility of professional black athletes: “shut up and play,” or rather now, “stand up, shut up, and play” being a way to make sure black athletes know their place. Recall his words last September during a campaign rally in Huntsville, Alabama: “Wouldn’t you love to see one of these NFL owners, when somebody disrespects our flag, to say, ‘Get that son of a bitch off the field right now, out, he’s fired.’” The crowd responded with chants of “USA! USA! USA!” That Trump would now question the citizenship rights of black athletes is the logical conclusion to his nationalist worldview. 

Trump’s pardon of African-American heavyweight champion Johnson ? only the third posthumous pardon in U.S. history ? should be seen in this light, too.

Trump was happy to point out that previous presidents, including Barack Obama, had failed to pardon Johnson when they had the chance but it was Trump who delivered justice. At the White House ceremony, Trump said the pardon “helps correct an injustice experienced by Jack Johnson. But it also reminds us of a racist past and how even today racist remarks and coded words are used to imperil African-Americans, especially black men, and to advance an un-American agenda.” Johnson, we should remember, was charged with “white slavery” under the Mann Act of 1912 in large part because wider society could not believe that the white women in Johnson’s entourage were there by choice. He must, they reasoned, have “enslaved” them and forcibly transported the women across state lines. 

Trump’s new-found interest in Johnson and the racism he endured is about as convincing as his repeated boasts of being proud to see the African-American unemployment rate at historic lows. As the journalist Dave Zirin noted, “There is little doubt that if Trump was alive in Jack Johnson’s day, he would’ve been one of his tormentors, not his savior. That’s what makes this pardon such cheap political theater. This isn’t justice. It’s trolling.”

Trump, if nothing else, reveals the true political meanings and nationalistic dictates of American sports. Thus we can now say, with some certainty, that the calls for “national unity” are actually calls to cover up racial disunity. The calls to “stand and salute the flag” are really calls to step back and stop thinking about the state of the nation. The calls to “respect the troops” are actually calls to endorse the Department of Defense and State Department’s policies and military adventures abroad.

Trump, if nothing else, reveals the true political meanings and nationalistic dictates of American sports.
Commentators who say all this “sports talk” is a distraction from “real politics” misunderstand what politics is in this moment. To discuss sports is not to avoid politics, because sports is politics. Nationalism is not apolitical, and playing the national anthem before every sporting event ? a rare practice elsewhere in the world ? is proof that sports have long been entwined with politics. To claim that sports and politics “don’t mix” is simply naive.

However, communities of color have a longer, older tradition than the founding of America as a nation-state. That is a tradition of resistance, contestation and rejection of the idea that “the flag” and the anthem represent a universal America, free of class conflict and racial oppression. Consider the earliest resistant struggles of Native Americans, or African-American orator Frederick Douglass’s bold declaration that “This Fourth of July is yours, not mine,” and the black national anthem, “Lift Every Voice and Sing.” These freedom struggles acknowledged that America’s national symbols were in fact those of white America. Supporting this radical tradition by rejecting the compulsory nationalism of American sports events is surely the more truly patriotic act.

 

Ben Carrington teaches sociology at the Annenberg School for Communication and Journalism at the University of Southern California and is a Visiting Research Fellow at Leeds Beckett University in England. He is the author of many books, including Race, Sport and Politics. "
7,"President Donald Trump dubiously suggested investigators from special counsel Robert Mueller’s Russia probe “will be meddling” in the upcoming midterm elections.

Trump tweeted Tuesday that “13 Angry Democrats” assigned to the investigation plan to attempt to interfere with the elections, most of which will be held on Nov. 6. As usual, he failed to mention that Mueller himself is a lifelong Republican. Although Trump has refused to firmly accept that Russia attempted to swing the 2016 presidential election in his favor ? as confirmed by the U.S. intelligence community in January 2017 ? he tweeted with certainty that Mueller’s investigators would tamper with the midterms.

There is zero evidence to suggest Trump’s statement is credible. However, in February, then-Secretary of State Rex Tillerson said that Russia was already attempting to meddle in the midterms. He warned that the U.S. is no more prepared now than it was before the 2016 election to prevent Russian interference.

“Really, I think it’s just important to continue to say to Russia, ‘Look, if you think we don’t see what you’re doing, we do see it and you need to stop. If you don’t, you’re just going to continue to invite consequences for yourself,’” Tillerson told Fox News in February.

“I don’t know that I would say we are better prepared, because the Russians will adapt as well,” Tillerson said. “The point is, if it’s their intention to interfere, they are going to find ways to do that. We can take steps we can take, but this is something that, once they decide they are going to do it, it’s very difficult to pre-empt it.”

Trump has repeatedly attempted to smear the credibility of Mueller’s investigation. On Sunday, he lamented the “young and beautiful lives” supposedly “destroyed” by the “phony” Russia probe, tweeting that many of them “went back home in tatters.” It’s unclear who he was referring to in his tweet, but at least 19 people, including several of Trump’s former campaign associates, have been charged in the investigation.

Minutes after accusing Mueller’s investigators of election meddling, Trump tweeted Tuesday that he needed to “start focusing my energy” on other issues."
8,"Just the prospect of a peace deal appeared to boost Trump’s poll numbers. So what would a collapsed deal do? WASHINGTON ? While President Donald Trump may have seen a successful summit with North Korea’s dictator as the path to a Nobel Peace Prize, many leaders in the Republican Party had eyed a more practical benefit: an aid to retaining control of Congress.

Now, with the planned June 12 Singapore summit in off-again, on-again limbo, Republicans wonder if the initiative that had seemed like a godsend just a few weeks ago could instead turn into a curse.

“If it stays off, it’s bad,” said one top GOP fundraiser close to the White House, speaking on the condition of anonymity. He added that he personally never really bought the idea that a Trump meeting with Kim Jong Un would be a game-changer. “If he pulls it off, I don’t think it changes much other than building a narrative of success.”

Republican National Committee members gathered at the Trump golf resort in Doral, Florida, early this month, though, were far more sanguine about the positive effects a Trump-Kim meeting would have for their party in November. The gathering took place seven weeks following Trump’s sudden decision to accept Kim’s invitation to meet, and RNC members pointed to the president’s improved poll numbers thereafter as a sign for optimism.

Trump’s inflammatory statements about Kim ? on one occasion he promised to unleash “fire and fury” on North Korea if Kim threatened the United States ? had been among what Americans saw as the most unappealing aspects of Trump’s first year in office. His new willingness to sit down with Kim to work on a peace deal, RNC members believed, would boost his approval rating and make him far less of a drag on congressional Republicans trying to keep control of the House and Senate this November.

“If he pulls that off, it could be a red wave instead of a blue wave,” said one top RNC member attending the Florida meeting, also speaking on the condition of anonymity.

Still, it’s unclear how much actual help even a productive summit might give Republicans running for office this fall.

“There is no question the president is getting credit for pushing this process forward and starting a dialogue with North Korea,” said Neil Newhouse, a Republican pollster. He said that benefit could linger even if a summit never comes together, even among independent voters. “If anything, it might move them more into Trump’s camp because they consider his actions good for the country.”

But Democratic pollster Peter Hart said Trump will continue to hurt Republican congressional candidates because he remains deeply unpopular with everyone but Republicans. “He has never had a job approval or a personal approval rating that matched the vote he got in 2016,” Hart said.

He added that even if the president were to conclude a breakthrough summit that moved North Korea closer to giving up its nuclear weapons, Trump, being Trump, would be unable to keep that accomplishment at the top of voters’ minds. “He will have 22,419 tweets between the summit and Election Day,” Hart said. “Too many events to allow him a free positive set of attitudes until November.”

One Republican adviser close to the Trump White House said it was “ridiculous” to think that lowered tensions with North Korea would push voters to support Republicans in any case.

“This is the problem with the RNC: They’re fucking morons,” the adviser said, adding that Republicans need to run on the threat of impeachment posed by a Democratic House. “If the party runs on North Korea and taxes? They’re going to lose 40 seats.”

Moreover, Chinese leaders, who have the most influence over Kim, are not going to permit a North Korea foreign policy win for Trump ahead of November, the adviser said. “Nothing was ever going to come out of Singapore. The Chinese were never going to let it happen,” the adviser said. “You think they want to help Trump in the midterms?”

John Weaver, the GOP political consultant who worked for Ohio Gov. John Kasich’s presidential bid in 2016, agreed that Republicans who believe a summit will help them are deluding themselves. “I don’t really hear that outside of the Beltway and the Trump cult,” he said, adding that people he speaks to are more worried that Trump, desperate for a deal, will get played by Kim.

“He doesn’t want to be briefed. He doesn’t read anything. He doesn’t want to tell anything to our allies. How do people think this is going to turn out?” Weaver said. “The North Koreans have already gotten more from him than they have for 30 years.”
"
9,"Caitlyn Jenner may have been an outspoken supporter of President Donald Trump since the early days of the 2016 election, but that doesn’t mean she’s thrilled with the way things have been going since then. 

In a Broadly profile published Tuesday, the transgender icon and former Olympian discussed her conservative politics and said Trump “has been, for all LGBT issues, the worst president we have ever had.” She also suggested she may not support his 2020 re-election campaign. 

“I want him to know politically I am disappointed, obviously,” Jenner said, pointing specifically to Trump’s rolling back of trans rights. “I don’t want our community to go backwards. Just leave us alone, that’s all we want.” 

Jenner’s Republican views have, of course, put her at odds with other LGBTQ people for some time. She’s met with U.S. Ambassador to the UN Nikki Haley and Education Secretary Betsy DeVos, and says she believes the LGBTQ community stands to benefit from her decision to maintain a strong relationship with members of Trump’s Cabinet. 

“I think it’s good that I’m on the Republican side because the Republicans know that, and I have an immediate in with them to change their minds,” Jenner said.

“The Republicans need the most work when it comes to our issues, I get that,” she added. “I would rather work from the inside. I’m not the type of person who is going to stand on a street corner with a sign and jump up and down. No, I’m going to go have dinner with these people.”

Jenner said she’s also had “a great conversation” with Vice President Mike Pence, who has an established history of supporting anti-LGBTQ legislation. 

“He’s kinda like, from our standpoint, the real enemy. But that’s OK, I can handle that,” Jenner said. The vice president told her he “would love” to have a lengthier discussion down the line, she said.

In the nearly year and a half since Trump’s inauguration, Jenner has appeared critical of the administration’s policies in interviews and on social media.

She told Newsweek in March that she’d “built some very nice and good relationships with the Republican Party” but had not spoken with Trump himself. 

"
